Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-04-17,0.213,2.442,1.279,-0.403,-1.430,1.746
2019-04-18,0.455,2.778,2.222,-0.179,-1.393,3.017
2019-04-19,-0.974,2.872,1.154,0.278,0.319,-0.016
2019-04-20,-1.786,1.957,2.500,0.526,1.104,-1.145
2019-04-21,0.000,2.143,0.000,-0.514,0.626,0.269
2019-04-22,-0.888,1.182,-2.000,-0.398,1.746,1.910
2019-04-23,0.733,2.255,1.000,0.515,1.137,2.204
2019-04-24,-0.256,2.500,-1.250,-2.753,0.033,1.201
2019-04-25,-1.508,2.705,0.882,-2.071,-1.309,1.645
2019-04-26,-0.743,2.647,2.273,-1.288,-0.842,1.093
2019-04-28,0.692,2.500,0.000,-1.000,1.185,3.048
2019-04-29,-0.806,1.757,0.789,-1.239,-0.926,2.421
2019-04-30,-1.378,3.182,1.667,-2.312,0.482,4.300
2019-05-01,-1.698,2.949,-1.667,-2.674,3.852,4.424
2019-05-03,-1.531,1.098,1.000,-1.636,2.184,3.899
2019-05-04,2.069,2.083,3.571,-0.927,3.011,3.734
2019-05-07,1.154,0.814,3.333,-1.599,0.461,3.747
2019-05-08,-0.820,1.226,2.500,-0.215,0.260,3.435
2019-05-09,-1.333,0.932,-1.000,-1.830,-0.733,3.607
2019-05-10,-0.285,0.870,-1.667,-1.001,-1.882,4.061
2019-05-11,-0.806,1.364,3.000,-0.797,2.538,4.708
2019-05-12,0.000,1.774,3.571,-2.009,3.311,4.503
2019-05-13,0.692,1.596,2.778,-0.755,0.725,3.825
2019-05-14,-1.087,2.805,1.000,-1.070,0.885,3.738
2019-05-16,-1.245,3.571,-0.833,-2.748,1.404,3.900
2019-05-17,-0.968,1.566,1.154,-2.013,0.522,0.943
2019-05-20,0.234,1.104,3.333,-1.657,-1.474,3.371
2019-05-21,0.628,0.312,0.500,-1.367,-2.210,4.744
2019-05-22,-0.301,2.059,3.750,-1.968,0.987,4.703
2019-05-23,-0.856,3.125,1.667,-2.333,1.053,4.311
2019-05-24,-0.786,2.308,2.143,-1.701,0.496,3.737
2019-05-25,1.296,3.148,0.714,-2.280,0.866,3.643
2019-05-26,0.437,2.273,0.000,-2.020,0.496,2.863
2019-05-27,-0.327,0.909,1.667,-1.971,0.813,3.359
2019-05-28,0.478,2.241,3.750,-2.118,0.646,3.041
2019-05-29,-1.645,3.529,2.500,-1.747,0.783,2.267
2019-05-30,0.484,2.714,2.143,0.326,1.162,0.479
2019-05-31,-1.675,2.500,-1.000,-0.455,1.358,2.850
2019-06-01,-1.231,3.636,1.667,-0.067,0.961,3.195
2019-06-02,0.000,3.333,1.667,-1.587,-0.296,2.667
2019-06-03,0.778,-1.324,1.000,-0.700,0.951,2.309
2019-06-04,1.522,-0.610,0.000,-2.208,0.847,2.532
2019-06-07,-0.193,2.059,1.250,-2.199,0.109,1.914
2019-06-08,1.299,3.571,3.333,-1.156,-0.497,1.962
2019-06-12,0.303,2.353,1.667,-0.594,0.178,3.240
2019-06-13,0.078,1.750,-3.182,-1.021,2.491,3.264
2019-06-14,-1.179,3.095,1.000,-1.259,1.225,2.713
2019-06-16,-0.818,0.172,-2.143,-0.768,-0.890,3.644
2019-06-17,-0.915,1.875,0.714,1.767,-1.196,4.371
2019-06-18,1.038,3.235,-0.714,-0.692,-0.727,4.193
2019-06-19,1.667,2.143,0.882,-1.410,-0.149,2.428
2019-06-20,1.260,3.108,1.364,-2.994,-0.194,2.326
2019-06-21,0.756,2.500,1.667,0.720,0.498,2.808
2019-06-22,1.034,4.000,-2.500,-1.909,-0.450,3.312
2019-06-23,-0.341,2.500,0.556,-1.272,0.098,3.671
2019-06-24,-2.310,0.703,2.419,-1.326,0.115,3.636
2019-06-25,-2.340,3.276,3.333,-2.198,1.197,3.878
2019-06-26,-1.280,2.059,2.000,-2.033,1.072,3.692
2019-06-27,-0.284,2.500,0.000,-0.944,0.858,2.335
2019-06-28,1.318,1.923,3.462,-0.307,-0.377,2.452
2019-06-29,3.864,2.273,0.000,-3.029,0.216,1.779
2019-06-30,1.667,1.400,1.667,-2.526,0.933,-0.744
2019-07-01,1.938,1.286,0.714,-1.199,1.238,0.093
2019-07-02,1.240,3.261,-1.154,-1.304,0.430,3.197
2019-07-03,1.641,0.600,1.000,-0.232,0.322,2.571
2019-07-04,0.900,2.059,-1.250,-0.397,-1.149,2.493
2019-07-05,0.417,1.842,-0.714,0.333,-1.749,2.091
2019-07-07,-0.405,-0.227,-1.000,-0.627,-2.455,1.120
2019-07-08,-0.938,-0.556,0.000,0.354,-2.330,-0.545
2019-07-09,1.250,2.800,0.556,-1.458,-2.035,1.932
2019-07-10,1.951,1.250,3.889,-2.397,-0.598,2.067
2019-07-11,0.667,2.879,1.429,-0.945,0.042,1.034
2019-07-12,0.339,-0.263,2.500,0.042,0.109,1.554
2019-07-13,0.652,2.059,1.667,-0.668,-0.445,0.626
2019-07-14,-0.507,4.032,1.667,-1.018,-0.129,0.805
2019-07-15,1.183,3.980,2.222,-0.940,0.218,2.064
2019-07-16,0.818,2.347,0.882,-0.539,0.614,-1.915
2019-07-17,-0.818,3.780,3.000,-0.691,0.736,0.318
2019-07-18,-1.292,3.250,1.522,-0.103,0.527,0.250
2019-07-19,-0.089,1.935,1.875,-1.994,0.508,3.545
2019-07-20,2.742,2.778,2.273,-1.480,0.969,4.202
2019-07-21,0.926,0.000,1.923,-0.661,1.206,4.087
2019-07-22,0.538,0.893,3.421,-1.238,1.467,1.989
2019-07-23,1.496,3.095,2.500,-1.450,-0.478,1.857
2019-07-24,0.361,2.879,2.143,-1.403,-1.343,3.022
2019-07-25,0.172,2.500,-0.556,-0.691,-0.036,4.231
2019-07-26,0.000,2.200,0.217,-0.711,-2.690,3.608
2019-07-27,0.769,2.368,-0.556,-0.558,-2.079,2.664
2019-07-28,0.556,1.000,1.000,-0.160,-0.760,2.175
2019-07-29,-0.556,3.125,3.750,-1.364,0.258,0.536
2019-07-30,1.528,-0.918,2.200,-0.928,-0.142,1.295
2019-07-31,1.701,-2.727,0.556,-0.637,0.101,2.620
2019-08-01,2.434,1.970,1.875,2.829,0.142,1.766
2019-08-02,-0.519,-0.400,1.316,0.751,-3.554,1.821
2019-08-03,-0.185,2.143,1.923,2.575,-3.504,0.180
2019-08-04,0.926,0.000,-3.000,0.394,-0.440,-1.094
2019-08-05,0.676,2.292,3.235,0.370,0.849,1.975
2019-08-06,-0.200,1.061,1.667,-0.968,0.375,2.992
2019-08-07,-0.204,1.667,4.000,-0.503,-0.398,2.401
2019-08-08,-0.376,1.970,2.857,-0.137,-0.297,3.885
2019-08-09,0.040,2.321,1.429,-0.052,-0.208,1.837
2019-08-10,2.736,3.235,0.000,0.429,-0.357,0.611
2019-08-12,0.432,2.000,2.368,-0.173,0.858,1.122
2019-08-13,-0.104,2.297,1.154,-1.351,-0.836,1.042
2019-08-14,1.897,1.333,2.778,-1.905,-2.072,1.547
2019-08-15,-1.304,2.500,1.667,-1.761,-1.953,2.646
2019-08-16,0.965,0.833,2.500,-1.142,-1.799,3.934
2019-08-18,1.429,4.200,0.714,-2.054,-0.091,3.581
2019-08-19,0.236,2.419,2.857,-0.599,0.944,1.839
2019-08-20,-0.145,-0.472,0.714,-0.746,0.333,2.231
2019-08-21,-0.604,2.727,1.000,-1.303,0.513,3.594
2019-08-22,0.595,3.333,0.714,-1.373,2.444,2.126
2019-08-23,1.231,1.757,0.385,0.300,0.736,2.260
2019-08-24,1.957,4.259,1.667,-1.000,0.233,2.604
2019-08-25,0.333,3.462,-1.667,-1.596,0.827,3.018
2019-08-27,1.780,1.154,3.750,-1.216,1.111,1.943
2019-08-29,0.714,3.387,1.364,-0.908,1.988,3.099
2019-08-30,0.747,1.957,2.692,-0.316,0.734,4.183
2019-08-31,-0.455,-2.742,3.000,-0.866,-0.115,3.475
2019-09-01,1.667,-2.593,-1.667,-2.072,0.398,1.360
2019-09-03,-0.397,0.275,3.261,-3.389,-0.590,1.831
2019-09-04,0.000,0.256,-0.577,-2.249,-0.821,-0.854
2019-09-05,0.229,3.406,3.571,-0.066,0.461,3.561
